ticker,name,exchange,asset_type,currency,source_date
AAAP,Pacer Barings CLO Market Flex ETF,NASDAQ,etf,USD,2026-08-22
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,common_stock,USD,2026-08-22
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,common_stock,USD,2026-08-22
AACIU,Armada Acquisition Corp. III - Units,NASDAQ,unit,USD,2026-08-22
AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,warrant,USD,2026-08-22
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,common_stock,USD,2026-08-22
AACOU,Abony Acquisition Corp. I - Units,NASDAQ,unit,USD,2026-08-22
AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,warrant,USD,2026-08-22
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,common_stock,USD,2026-08-22
AACPR,Apogee Acquisition Corp - Rights,NASDAQ,right,USD,2026-08-22
AACPU,Apogee Acquisition Corp - Units,NASDAQ,unit,USD,2026-08-22
AACPW,Apogee Acquisition Corp - Warrant,NASDAQ,warrant,USD,2026-08-22
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,etf,USD,2026-08-22
AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ,etf,USD,2026-08-22
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,common_stock,USD,2026-08-22
AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,etf,USD,2026-08-22
AAME,Atlantic American Corporation - Common Stock,NASDAQ,common_stock,USD,2026-08-22
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,common_stock,USD,2026-08-22
AAON,"AAON, Inc. - Common Stock",NASDAQ,common_stock,USD,2026-08-22
AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,etf,USD,2026-08-22
AAPD,Direxion Daily AAPL Bear 1X ETF,NASDAQ,etf,USD,2026-08-22
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,common_stock,USD,2026-08-22
AAPL,Apple Inc. - Common Stock,NASDAQ,common_stock,USD,2026-08-22
AAPU,Direxion Daily AAPL Bull 2X ETF,NASDAQ,etf,USD,2026-08-22
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,common_stock,USD,2026-08-22
AAUB,Alpha Architect US Equity 4 ETF,NASDAQ,etf,USD,2026-08-22
AAUS,Alpha Architect US Equity ETF,NASDAQ,etf,USD,2026-08-22
AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ,etf,USD,2026-08-22
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,etf,USD,2026-08-22
ABAT,American Battery Technology Company - Common Stock,NASDAQ,common_stock,USD,2026-08-22
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,common_stock,USD,2026-08-22
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,etf,USD,2026-08-22
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,common_stock,USD,2026-08-22
ABI,VictoryShares Pioneer Asset-Based Income ETF,NASDAQ,etf,USD,2026-08-22
ABIG,Argent Large Cap ETF,NASDAQ,etf,USD,2026-08-22
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,common_stock,USD,2026-08-22
ABLVW,Able View Global Inc. - Warrant,NASDAQ,warrant,USD,2026-08-22
